id,name,sex,height,weight,team
63690,"Francea Norma ""Francie"" Kraker (-Johnson, -Goodridge)",F,170,52,United States
63691,Steffi Krker (-Biskupek),F,156,43,East Germany
63692,Yury Olegovich Krakovetsky,M,180,130,Kyrgyzstan
63693,Irina Krakoviak,F,164,55,Lithuania
63694,Jaroslav Krl,M,176,81,Czechoslovakia
63695,Miroslav Kr,M,171,75,Czechoslovakia
63696,Radoslav Kr,M,189,80,Slovakia
63697,Jarmila Krlkov,F,163,63,Czechoslovakia
63698,Frantiek Krlk,M,186,91,Czechoslovakia
63699,Ji Krlk,M,175,79,Czechoslovakia
63700,udmila Krlikov (-Gajdoov),F,187,79,Czechoslovakia
63701,Dejan Kralj,M,173,70,Slovenia
63702,Jan Kralj,M,174,69,Slovenia
63703,Milo Kralj,M,182,77,Yugoslavia
63704,Milka Kraljev,F,166,57,Argentina
63705,Rachid Kram,M,180,63,Algeria
63706,Ahmed Krama,M,177,64,Algeria
63707,David Kramr,M,180,78,Czech Republic
63708,Anton Kramarenko,M,179,60,Kyrgyzstan
63709,Boris Grigoryevich Kramarenko,M,166,62,Soviet Union
63710,Oleh Kramarenko,M,180,86,Ukraine
63711,Yekaterina Aleksandrovna Kramarenko,F,146,40,Russia
63712,"Anna Maria ""Annemarieke"" Kramer",F,169,61,Netherlands
63713,Axel Krmer,M,176,78,East Germany
63714,Bogdan Kramer,M,178,76,Poland
63715,Dirk Kramer,M,171,70,West Germany
63716,Edmond Kramer III,M,,,Switzerland
63717,"Gijsbert Gerrit ""Gijs"" Kramer",M,,,Netherlands
63718,Karl-Heinz Kramer,M,180,71,Germany
63719,Jan Korver Kramer,M,,,Netherlands
63720,Josef Krmer,M,,,Germany
63721,Nicole Kramer,F,153,50,United States
63722,Rudolf Kramer,M,,,Austria
63723,Sven Kramer,M,185,80,Netherlands
63724,William J. Kramer,M,171,57,United States
63725,Yep Gerardus Kramer,M,178,72,Netherlands
63726,Denise Kramer-Scholer,F,,,Switzerland
63727,Antonn Kramerius,M,186,98,Czechoslovakia
63728,Werner Krammel,M,187,83,West Germany
63729,Anton Krammer,M,,,Austria
63730,Katina Lynn Kramos,F,173,73,Greece
63731,Hamza Kramou,M,175,60,Algeria
63732,Mahoula Kramou,F,,,Cote d'Ivoire
63733,Jindra Kramperov,F,,,Czechoslovakia
63734,Roman Kramsztyk,M,,,Poland
63735,Philip Krenker Kran Paval,M,,,Denmark
63736,Henrique Kranen Filho,M,,,Brazil
63737,"Coenrad Michiel ""Coen"" Kranenberg",M,174,73,Netherlands
63738,Alexandros Kranis,M,,,Greece
63739,Ale Kranjc,M,181,92,Slovenia
63740,Matija Kranjc,M,183,91,Slovenia
63741,Robert Kranjec,M,175,61,Slovenia
63742,an Kranjec,M,176,77,Slovenia
63743,Frdric Krantz,M,176,71,France
63744,Tom Patric Krantz,M,183,72,Sweden
63745,Robert Neal Kranz,M,190,127,Guam
63746,Andreas Krapf,M,,,Austria
63747,Ivan Krapi,M,194,103,Croatia
63748,Gintaras Krapikas,M,197,95,Lithuania
63749,Anastasiya Sergeyevna Krapivina,F,170,56,Russia
63750,Kai Aage Krarup,M,,,Denmark
63751,Vclav Krsa,M,,,Czechoslovakia
63752,Juttaporn Krasaeyan,F,175,87,Thailand
63753,Aleksandr Krasavin,M,,,Soviet Union
63754,Milo Krasi,M,185,72,Serbia and Montenegro
63755,Vyacheslav Borisovich Krasilnikov,M,196,90,Russia-1
63756,Yevgeny Vitalyevich Krasilnikov,M,191,89,Soviet Union
63757,Nataliya Nikolayevna Krasilnikova,F,173,63,Kazakhstan
63758,Mikhail Krasilov,M,183,70,Kazakhstan
63759,Olga Krasilov,F,,,Czechoslovakia
63760,Maria Krasiltseva,F,163,,Armenia
63761,Serhiy Oleksandrovych Krasiuk,M,190,78,Soviet Union
63762,Jerzy Adam Kraska,M,176,70,Poland
63763,Aleksandr Krasko,M,190,100,Belarus
63764,Robert Roman Kraskowski,M,176,82,Poland
63765,"Johan Josef ""Jan"" Krsl",M,,,Czechoslovakia
63766,Iryna Vasylivna Krasnianska,F,155,51,Ukraine
63767,Natella Arkhipovna Krasnikova,F,160,60,Soviet Union
63768,Luan Krasniqi,M,190,92,Germany
63769,Bogna Grayna Krasnodbska-Gardowska,F,,,Poland
63770,Olesya Aleksandrovna Krasnomovets (-Forsheva),F,171,60,Russia
63771,Evgeni Krasnopolski,M,180,,Israel
63772,Hanna Serhivna Krasnoshlyk,F,171,59,Ukraine
63773,Aleksandr Gennadyevich Krasnov,M,175,68,Soviet Union
63774,"Yevgeny ""Danny"" Krasnov",M,184,83,Israel
63775,Vladimir Aleksandrovich Krasnov,M,190,70,Russia
63776,Vera Ivanovna Krasnova,F,158,58,Soviet Union
63777,Aleksandr Krasnoyartsev,M,,,Unified Team
63778,Aleksandr Vladimirovich Krasnykh,M,188,80,Russia
63779,Jnis Krasovskis,M,178,74,Soviet Union
63780,Oleksiy Krasovskiy,M,177,67,Ukraine
63781,Jerzy Wilibald Kraswka,M,179,73,Poland
63782,Katarzyna Boena Krasowska,F,174,65,Poland
63783,Julia Krass,F,175,59,United States
63784,Horst Krasser,M,183,99,Austria
63785,Dieter Krassnig,M,174,80,Austria
63786,Dimitar Krastanov,M,181,71,Bulgaria
63787,Emil Dankov Krastev,M,185,79,Bulgaria
63788,Ivan Krastev Turlakov,M,165,62,Bulgaria
63789,Krasimir Krastev,M,,,Bulgaria
63790,Plamen Petrov Krastev,M,187,76,Bulgaria
63791,Stefan Krastev,M,178,78,Bulgaria
63792,Anna Krasimirova Krasteva,F,164,56,Bulgaria
63793,Tsvetanka Krasteva (-Asenova),F,168,73,Bulgaria
63794,Dimo Krastinov,M,,,Bulgaria
63795,Franciela das Graas Krasucki,F,168,63,Brazil
63796,Hennadiy Krasylnykov,M,180,120,Ukraine
63797,Sndor Krasznai (Krmer-),M,188,88,Hungary
63798,George K. Kratina,M,,,United States
63799,Stanley Joseph Kratkowski,M,,75,United States
63800,Betislav Krtk,M,,,Czechoslovakia
63801,Petr Krtk,M,186,86,Czechoslovakia
63802,Frantiek Kratochvl,M,,,Czechoslovakia
63803,Tom Kratochvl,M,175,70,Czech Republic
63804,Jarmila Kratochvlov,F,171,68,Czechoslovakia
63805,Veronika Kratochwil,F,169,63,Austria
63806,Jovan Kratohvil,M,,,Yugoslavia
63807,Guido Kratschmer,M,186,94,West Germany
63808,Giacomo Kratter,M,172,62,Italy
63809,Ilana Kratysh,F,169,69,Israel
63810,"Carl ""Karel"" Kratz",M,,,Netherlands
63811,Alois Kratzer,M,,,Germany
63812,Evi Kratzer (-Mattmann),F,170,58,Switzerland
63813,Rupert Kratzer,M,181,73,West Germany
63814,Sophie Kratzer,F,171,71,Germany
63815,Dieter Kratzsch,M,180,87,East Germany
63816,Carolyn Patricia Krau,F,137,36,Great Britain-2
63817,Pontus Sebastian Kraupp,M,183,79,Sweden
63818,Alanna Kraus (-Handley),F,165,60,Canada
63819,Angelika Kraus,F,178,65,West Germany
63820,August Friedrich Johann Kraus,M,,,Germany
63821,Bente Kraus,F,172,68,Germany
63822,Bernd Krau,M,192,89,East Germany
63823,Brigitte Helene Kraus,F,180,58,West Germany
63824,Jan Kraus,M,,,Czechoslovakia
63825,"Katharina Anna ""Kthe"" Krau",F,176,72,Germany
63826,Marinus Kraus,M,173,59,Germany
63827,Melanie Kraus,F,165,50,Germany
63828,Michael Kraus,M,,,West Germany
63829,Michael Hermann Kraus,M,185,75,United States
63830,Michael Kraus,M,187,94,Germany
63831,Paul Krau,M,,,Germany
63832,Peter Friedrich Wilhelm Kraus,M,173,64,Germany
63833,Peter Kraus,M,178,89,West Germany
63834,Rolf Krau,M,160,52,West Germany
63835,Sascia Kraus,F,177,65,Switzerland
63836,Tom Kraus,M,183,86,Czech Republic
63837,Xaver Kraus,M,185,76,West Germany
63838,Manfred Krausbar,M,189,83,Austria
63839,Adolf Krause,M,162,64,Germany
63840,Barbara Krause (-Wanja),F,180,68,East Germany
63841,Bernd Krause,M,195,95,West Germany
63842,Charles Krause,M,,,United States
63843,"Christiane Krause (-Stallasch, -Todd)",F,164,54,West Germany
63844,Dieter Krause,M,181,83,Germany
63845,Dieter Krause,M,172,74,Germany
63846,Gesa Felicitas Krause,F,167,51,Germany
63847,Hans-Helmuth Krause,M,175,68,Germany
63848,Heinrich Krause,M,,,Austria
63849,Helmut Krause,M,199,93,West Germany
63850,Kerstin Krause,F,162,56,East Germany
63851,Konstantin Krause,M,189,79,Germany
63852,Ewa Larysa Krause,F,155,51,Poland
63853,Malene Krause (-Larsen),F,165,72,Denmark
63854,Michael Krause,M,188,85,West Germany
63855,Nadine Krause,F,178,67,Germany
63856,Regina Krause,F,170,60,West Germany
63857,Roswitha Krause,F,175,74,East Germany
63858,Sigrun Krause (-Filbrich),F,159,50,East Germany
63859,Stefan Kraue,M,186,90,East Germany-2
63860,Vicente Dalmiro Krause,M,,,Argentina
63861,"Joachim ""Achim"" Krause-Wichmann",M,,,Saar
63862,Hans Krause-Wichmann,M,,,Saar
63863,"Irmgard ""Irmi"" Krauser",F,164,51,West Germany
63864,Silke Kraushaar (-Pielach),F,177,66,Germany
63865,"Alfred ""Fredy"" Krauss",M,158,65,France
63866,Gnther Krauss,M,182,79,West Germany
63867,Nikolett Krausz,F,148,41,Hungary
63868,Laura Kraut (Kent-),F,168,58,United States
63869,Amnon Krauz,M,189,75,Israel
63870,Ineta Kravale (-Vtola),F,165,56,Latvia
63871,Andrei Kravarik,M,204,97,Greece
63872,Virginia Kravarioti,F,166,69,Greece
63873,Olena Vitalivna Kravatska,F,176,66,Ukraine
63874,Aleksandr Aleksandrovich Kravchenko,M,172,60,Russia
63875,Andrey Sergeyevich Kravchenko,M,191,83,Belarus
63876,Anzhela Kravchenko,F,165,59,Ukraine
63877,Hanna Serhivna Kravchenko,F,186,80,Ukraine
63878,Marina Kravchenko,F,167,57,Israel
63879,Nikolay Kravchenko,M,167,65,Soviet Union
63880,Vadim Vladimirovich Kravchenko,M,178,70,Kazakhstan
63881,Valery Ivanovich Kravchenko,M,196,96,Soviet Union
63882,Viktor Petrovich Kravchenko,M,172,65,Soviet Union
63883,Vladimir Kravchenko,M,187,81,Soviet Union
63884,Volodymyr Kravchenko,M,184,76,Ukraine
63885,Igor Aleksandrovich Kravchuk,M,185,95,Soviet Union
63886,Serhiy Volodymyrovych Kravchuk,M,,,Unified Team
63887,Stanislav Mykhailovych Kravchuk,M,182,78,Ukraine
63888,Valentyn Ivanovych Kravchuk,M,188,89,Soviet Union
63889,Alla Volodymyrivna Kravets,F,,,Ukraine
